year,total_weight,total_value,total_trips,total_harvs
2008,231655817.3629,364885648.724,485904,17527
2009,227720590.88815,327831660.93700004,480177,17998
2010,252876948.51917002,456953138.008,499692,17666
2011,284954467.25259,434117810.899,496236,16702
2012,316665957.10077,531080713.11800003,497768,16608
2013,311340683.21477,540830705.017,507232,16803
2014,302332308.65185,591513003.419,480879,17484
2015,277568805.7972,627303476.6,482764,17466
2016,297096547.10204,732473473.068,497693,16891
2017,249058607.61203,575355002.689,465124,15981
2018,281943392.85,648027026.457,449289,15806
2019,144578618.94,504222677.699,350992,11083
2020,200264810.64,521376278.851,368622,12750
2021,217792151.12,919546349.645,417528,13649
2022,204956769.41,593526569.106,347431,13018
